iter	Passed	Remaining
399	64278	8034
400	64440	7874
401	64605	7714
402	64771	7553
403	64947	7394
404	65104	7233
405	65250	7071
406	65410	6910
407	65578	6750
408	65741	6590
409	65912	6430
410	66074	6269
411	66223	6107
412	66388	5947
413	66549	5786
414	66709	5626
415	66877	5465
416	67041	5305
417	67188	5143
418	67343	4982
419	67505	4821
420	67670	4661
421	67834	4500
422	68008	4340
423	68161	4179
424	68319	4018
425	68485	3858
426	68649	3697
427	68812	3537
428	68982	3376
429	69135	3215
430	69284	3054
431	69448	2893
432	69610	2732
433	69774	2572
434	69949	2412
435	70107	2251
436	70256	2090
437	70423	1929
438	70593	1768
439	70761	1608
440	70938	1447
441	71098	1286
442	71249	1125
443	71409	964
444	71577	804
445	71743	643
446	71913	482
447	72078	321
448	72229	160
449	72391	0
