iter	MultiClass
395	0.1612265277
396	0.1611465654
397	0.1610272419
398	0.1606869425
399	0.1603951048
400	0.1602425229
401	0.1600229574
402	0.1598902322
403	0.1597625212
404	0.1596154477
405	0.1594761588
406	0.1593498692
407	0.1592368909
408	0.1590115122
409	0.1588151201
410	0.1586717019
411	0.1585271223
412	0.1584152809
413	0.1581939178
414	0.1580710331
415	0.1579225461
416	0.1575614739
417	0.1573729817
418	0.1572339086
419	0.1570063156
420	0.1567254218
421	0.1565033655
422	0.1563304141
423	0.1561514669
424	0.1560030108
425	0.15589566
426	0.1557744229
427	0.155678782
428	0.1555441016
429	0.1554038613
430	0.155306103
431	0.1551846537
432	0.1550658595
433	0.1548992444
434	0.1547520907
435	0.1545315118
436	0.1543088297
437	0.1541756904
438	0.1540253662
439	0.1539420293
440	0.1538085149
441	0.1535774305
442	0.1534776385
443	0.1532616133
444	0.1531453999
445	0.1530717838
446	0.1530035231
447	0.1528030663
448	0.1526062175
449	0.1525054391
